PlanetName,Method,Year,Facility,OrbitPeriod,PlanetRadius,PlanetMass
WASP-1 b,Transit,2007,SuperWASP,2.51995,21.633,282.8687
WASP-1 b,Transit,2007,SuperWASP,2.519961,16.634,273.3338
WASP-1 b,Transit,2007,SuperWASP,2.5199464,16.735,311.4734
WASP-1 b,Transit,2007,SuperWASP,2.5199449,16.97,292
WASP-1 b,Transit,2007,SuperWASP,2.5199454,16.623,271.415
WASP-1 b,Transit,2007,SuperWASP,2.519961,16.97,291.76794
WASP-1 b,Transit,2007,SuperWASP,2.5199448,16.97,301.30284
WASP-1 b,Transit,2007,SuperWASP,2.51994529,16.242,268.88418
WASP-10 b,Transit,2008,SuperWASP,3.0927616,12.106,1001.12
WASP-10 b,Transit,2008,SuperWASP,3.0927636,14.348,940.7768
WASP-10 b,Transit,2008,SuperWASP,3.09272932,11.96,1020.2343
WASP-10 b,Transit,2008,SuperWASP,3.1,12.3,1017
WASP-10 b,Transit,2008,SuperWASP,3.0927616,11.96,1004.3428
WASP-100 b,Transit,2014,SuperWASP,2.849375,18.943,645.1949
WASP-100 b,Transit,2014,SuperWASP,2.849375,18.94,645.17
WASP-100 b,Transit,2014,SuperWASP,2.849375,18.943,638.8383
WASP-100 b,Transit,2014,SuperWASP,2.84938,14.908,400.4658
WASP-101 b,Transit,2014,SuperWASP,3.585722,15.805,157.96151
WASP-101 b,Transit,2014,SuperWASP,3.585722,15.8,158.91
WASP-101 b,Transit,2014,SuperWASP,3.58572,16.029,162.0933
WASP-103 b,Transit,2014,SuperWASP,0.925542,17.127,473.5667
WASP-103 b,Transit,2014,SuperWASP,0.925542,17.127,473.547
WASP-103 b,Transit,2014,SuperWASP,0.9255456,17.127,462.44265
WASP-104 b,Transit,2014,SuperWASP,1.7554137,12.745,404.263
WASP-104 b,Transit,2014,SuperWASP,1.7554137,12.745,403.00844
WASP-106 b,Transit,2014,SuperWASP,9.289715,12.162,606.73747
WASP-106 b,Transit,2014,SuperWASP,9.28971,11.433,514.8846
WASP-106 b,Transit,2014,SuperWASP,9.289715,12.162,611.797
WASP-11 b,Transit,2008,SuperWASP,3.72247,12.442,251.0857
WASP-11 b,Transit,2008,SuperWASP,3.722465,10.2,168.4499
WASP-11 b,Transit,2008,SuperWASP,3.72247967,11.097,156.37236
WASP-11 b,Transit,2008,SuperWASP,3.7224747,11.265,154.777
WASP-11 b,Transit,2008,SuperWASP,3.7224793,11.097,169.08556
WASP-117 b,Transit,2014,SuperWASP,10.02165,11.444,87.5585
WASP-117 b,Transit,2014,SuperWASP,10.02165,11.882,95.349
WASP-117 b,Transit,2014,SuperWASP,10.02165,11.444,87.75286
WASP-118 b,Transit,2016,SuperWASP,4.0460407,15.625,165.2716
WASP-118 b,Transit,2016,SuperWASP,4.0460435,16.141,163.36462
WASP-12 b,Transit,2008,SuperWASP,1.09142,21.712,465.62095
WASP-12 b,Transit,2008,SuperWASP,1.091423,20.1,448
WASP-12 b,Transit,2008,SuperWASP,1.09142245,20.4,416.3573
WASP-12 b,Transit,2008,SuperWASP,1.0914222,20.456,454.4969
WASP-12 b,Transit,2008,SuperWASP,1.0914203,21.297,467.2101
WASP-12 b,Transit,2008,SuperWASP,1.0914209,20.456,441.7837
WASP-12 b,Transit,2008,SuperWASP,1.09142119,20.849,638.8383
WASP-12 b,Transit,2008,SuperWASP,1.09,19.392,444.962
WASP-12 b,Transit,2008,SuperWASP,1.0914199,20.389,448.1403
WASP-120 b,Transit,2016,SuperWASP,3.6112706,16.511,1541.4755
WASP-121 b,Transit,2016,SuperWASP,1.2749255,20.905,375.99289
WASP-123 b,Transit,2016,SuperWASP,2.9776412,14.773,285.72917
WASP-127 b,Transit,2016,SuperWASP,4.178062,15.356,57.2094
WASP-13 b,Transit,2009,SuperWASP,4.353011,15.569,151.599
WASP-13 b,Transit,2009,SuperWASP,4.3530135,15.771,158.915
WASP-13 b,Transit,2009,SuperWASP,4.353011,17.127,166.86075
WASP-13 b,Transit,2009,SuperWASP,4.353011,17.127,162.72896
WASP-13 b,Transit,2009,SuperWASP,4.35301,13.675,114.4188
WASP-135 b,Transit,2015,SuperWASP,1.4013794,14.572,603.877
WASP-136 b,Transit,2016,SuperWASP,5.215357,15.468,479.9233
WASP-138 b,Transit,2016,SuperWASP,3.634433,12.218,387.7526
WASP-14 b,Transit,2008,SuperWASP,2.24376524,13.686,2466.3608
WASP-14 b,Transit,2008,SuperWASP,2.2437661,18.304,2510.857
WASP-14 b,Transit,2008,SuperWASP,2.2437655,13.899,2412.3297
WASP-14 b,Transit,2008,SuperWASP,2.2437661,14.359,2294.7326
WASP-14 b,Transit,2008,SuperWASP,2.243752,14.36,2333
WASP-14 b,Transit,2008,SuperWASP,2.24375,15.468,2809.6172
WASP-15 b,Transit,2009,SuperWASP,3.7521,15.805,171.6282
WASP-15 b,Transit,2009,SuperWASP,3.75209748,15.782,188.15536
WASP-15 b,Transit,2009,SuperWASP,3.7521,15.457,175.12433
WASP-15 b,Transit,2009,SuperWASP,3.75209748,16.006,172.26386
WASP-15 b,Transit,2009,SuperWASP,3.7520656,16.01,172
WASP-153 b,Transit,2017,SuperWASP,3.332609,17.374,123.9537
WASP-156 b,Transit,2017,SuperWASP,3.836169,5.717,40.68224
WASP-157 b,Transit,2016,SuperWASP,3.9516205,11.938,182.43442
WASP-16 b,Transit,2009,SuperWASP,3.1186068,11.299,288.58964
WASP-16 b,Transit,2009,SuperWASP,3.1186068,13.653,264.43456
